" (A) How was there enough matter and energy in the system for a zombie fire to burn under ice?

Make sure in your answer you discuss how peat formed in the arctic, why peat hasn't decomposed and how those two things contribute to zombie fires. 

Sentence Starters:
--> Zombie fires can burn under ice because...
---> Peat is formed by...
---> In the past, the arctic was different than today because...
","   (B) What will happen in the future if temperatures continue to rise?

Make sure you talk about zombie fires in your answer. 

Sentence Starters:
--> If the temperature on Earth continues to rise...",SCORE,improvement,strengths
"Zombie fires can burn under the ice because Peat is made up of Dead plants which are full of sugar and energy which allows fire to burn. In the tilt investigation We found out that with more solar radiation ther will be more photosythesis so there will be more energy in the plants. In the test tube directly under the light the btb changed back to blue showing it had the most photsynthesis/energy and the one in aluminium foil the btb stayed green so it had the leat photsythesis. And Since we know that thousands of years ago the artic was facing more to the sun because the tilt was greater. So Lots of plants grew in the arctic and the plants had lots of solar radiation and energy in them. And over the thousands of years when the tilt decreased and the arctic was farther from the sun the energy was stored in the plants and didnt decompose So all the Peat/energy was stored up which allowed the fires to burn under the ice. Also In the yeast lab The beaker with the warmest water created the most C02 with about 3 cm of yeast bubbles, and the one with cold water created no C02. This Shows that In colder temperatures like the arctic no decompostion is able to happen because of the cold temperature so all the dead plants just stays under the permafrost, So there is lots of dead plants for the fires to burn off under the ice.","If the temperature on Earth continues to rise lots of CO2 emissions will be released into the air. I think this will be the outcome because Peat is made up of dead plants that have not decomposed because of the cold temperature and little oxygen Because it is covered by a layer of frozen ground called permafrost. If temperature continue to rise over the years the arctic will get hotter so the permafrost will start to melt which will uncover the peat allowing get much more oxygen, sun exsposure and the temperature will rise. These factors will allow for all the peat to start to decompose which will release all the C02 stored inside it in to the air. Also for the Peat that is burning Under the Ice the fire will have more oxygen to burn off and all the C02 will be released from the peat.",3,"To improve your response, focus on organizing your explanation more clearly. Start by making a clear claim about how zombie fires can burn under ice, then systematically explain your evidence. You could structure it by first discussing the formation of peat and its composition, followed by how conditions in the past (like the greater tilt you mentioned) contributed to the high energy content in plants. Then, transition to how the cold temperatures prevented decomposition, as you noted in the yeast lab activity. This will help you to make a more concise and cohesive argument. Also, ensure your writing is legible and concise by reviewing spelling errors such as ""photsythesis"" and ""decompostion."" Lastly, make sure you tie back your evidence to your claim explicitly throughout your explanation to meet all the assignment criteria.","Your response effectively uses evidence from class activities to support your claim about how zombie fires can burn under ice. For example, you referenced the tilt investigation and the yeast lab, which demonstrates your understanding of the processes involved. You mentioned, ""In the tilt investigation We found out that with more solar radiation ther will be more photosythesis so there will be more energy in the plants,"" which shows your connection of solar radiation to energy availability. This is a strong application of scientific ideas to explain the matter and energy in the zombie fire system."
"In able for a zombie fire to burn under ice there has to be enough energy and matter. Zombie fires are just like peat. With peat being under the permafrost it means the matter/energy is frozen solid. There is glucose (C6H12O6) underground producing energy, matter, and O2 to be an output later on, causing zombie fires to burn under ice. When the permafrost melts, peat is now exposed to O2 and when there is an increase of O2, fires form and get bigger. CO2 and H2o is also an output from the fires. With the sketches shown in class we see how everything first starts as being in input and see what the outputs are.  As a class we did a yest project using cold, room temp., and warm H2o. The cold beaker stayed with no O2 and H2o through the whole 12 minutes, but comapre to the warm beaker there was an output of O2 and H2o. At the 12th minute the O2 and H2o was at 4 cm. What helped the bubbles grow was glucose (C6H12O6) just how the zombie fires are formed and the glucose being in imput of starting a zombie fire burning under ice. Besides the glucose 11,000 years ago the artic was warmer then now due to the tilt. Because it was warmer ice could of melted faster meaning there could of been more zombie fires make then compare to now. The artic back then was warmer meaning the tilt was greater and had more solar energy that reached the artic which is shown in the earths tilt sketch. ",If there is an increase in global temperatures it will cause the permafrost to melt due to the weather/inputs from nature it normally hasn't been getting the past years with colder temperatures. Zombie fires could then also form and possiably get bigger effecting the surrondings in the habitat it happens which will most likely be the artic.  Not only the nature but it will hurt our own global warming.,1,"To enhance your explanation, consider organizing your response more clearly by using the sentence starters you have been given. For instance, you could start by clearly defining what peat is and how it forms in the Arctic. This will provide a strong foundation for your explanation of why it doesn't decompose under permafrost conditions. Additionally, try to more explicitly link your evidence from the class activities to your claims about the zombie fires. For example, you mention 'the yeast project using cold, room temp., and warm H2O'—try to make a clearer connection between this experiment and the real-world scenario of zombie fires by explaining more about what this tells us about decomposition and energy flow. Also, further explain your point about the Earth's tilt and how this historical context impacts current and future conditions for zombie fires.","You have done a great job of discussing the role of glucose (C6H12O6) in the zombie fire system, specifically how it contributes to energy production. Your explanation about how 'when the permafrost melts, peat is now exposed to O2 and when there is an increase of O2, fires form and get bigger' clearly connects the concept of decomposition and combustion to the phenomenon of zombie fires. It's clear that you have engaged with the class activities, particularly the yeast project, and used it effectively to illustrate how energy and matter processes work in colder and warmer environments, which is a nice connection to the class experiments."
"Peat is formed by dead/Decopesed plants over time thats died 11,000 years ago and they decomposed at a very slow timel. 11,000 years ago the earths tilt was 25.5. And that means that the greater the tilt the greater the solar radiation meaning that 11,000 years ago ther were way more plants growing because of all the radiation. That means that the plants were doing a lot of photosysthisis. Photosynthisis is when plants make thier own food by energy(light)+ CO2+water--->O2+C6H12O6(sugar) . Now theres a lot a peat still burning under the permaforst because umm in our lab peat took a really long time to burn and maybey because there was more solar radiationa dn then that means more PSN  so more like plants and stuff are growing so ther more plants over all meaning more peat and the peat clould still be burning under there. and the plants had stored sugar in them so like thats energy and that kinda like shows how there is energy in peat so its burning and ",if the tempature get warmer the permafrost is gonna melt and when  the permafrost melts its gonna cause zombie fires to get bigger and then more CO2 will be created so i think that this means in the future the co2 could like cause more fires aroung the world or like make the air that we are breathing around us bad for us.. and more co2 will be created beecause there is more fires and fire makes smoke which is co2,2,"To improve, try to organize your thoughts more clearly and connect them directly to the criteria provided. First, ensure that you clearly state your claim about how zombie fires can burn under ice. Use the sentence starter ""Zombie fires can burn under ice because..."" to introduce your main idea. Then, sequentially explain how peat forms, why it hasn't decomposed, and how this contributes to zombie fires, ensuring each idea flows logically to the next. Also, try to directly link your explanation to specific class activities or empirical evidence, such as the ""Burning fuel samples demonstration"" or the ""Yeast/Decomposition Lab."" This will help strengthen your argument by showing how your classroom investigations support your explanation. Finally, aim to be a bit more concise, ensuring your sentences are clear and directly related to your main points, thus improving the overall readability of your answer.","You've included some important details about the formation of peat and the historical context of the Arctic, which is great! For example, you mentioned, ""Peat is formed by dead/Decomposed plants over time,"" and you also referenced the Earth's tilt 11,000 years ago, ""11,000 years ago the earth's tilt was 25.5,"" which helps to set the stage for understanding the environment in which peat was formed."
"There was enough matter and energy in the zombie fire system for two main reasons. The first one has to do with the Earth's tilt. In the Geologic TIme article that we read in class we learned that the earths orbital tilt (the same thing that gives us different seasons) has not always been the same 22.1 degrees that it is today and was closer to 24.5 degrees over 11,000 years ago. Addintioanlly,  in the earth's tilt actvity in class where we changened the amount of light the same kind of plants inside a BTB solution and we learned that the more light a plant got the more oxygen and glucose it would produce (also know as photosynthesis which shows that the plant is growing), we know this because the BTB had changed color from the dark green to a dark blue in the one with the most light exposure while the one with non direct lgiht only changed from dark green to light green. This confirms that photosynthisis took place. Linking these two toggether we can conclude that 11,000 years ago, when the earths tilt was a more aggresive 24.5 degrees, that this would give plants more light from the sun because of being in more dirrect light exposure. This would cause more growth. Then, as time goes on and the earths tilt becomes less and less, those same plants that where in semi warm conditions and got lots of sun exposure would be in the much colder areas with less sun exposure. This leads me right up to me second reason. In the yeast lab expirment we mixed  yeast and sugar into different temperature water to see the affect. Our findings where that the yeast decompused more when it was in warmer water. One pice of evidense from this lab is at 10 minutes, the warm beaker had 13 cm of foam while the cold one had 0cm. This shows how the colder temperatures slow down the rate at which things are decomposed. Sinse the plant matter from before is in a colder place it can not be decompused and keeps its energy, it has now turned into peat. This all relates to Zombie Fires as Peat is there main fuel source and since it is trapped under the perma frost from the colder climate, the fires are able to continue to burn under ground and re-amerage in the spring when the snow melts.","If the global temperature continuse to rise with global warming, there will be a decrease in zombie fires as the Perma Frost that used to keep the Peat from decomposing melts and the Peat's energy breaks down. Thus getting rid of the zombie fires source of fuel.",3,"To improve your response, consider organizing your thoughts more clearly to directly address the task criteria. Start by clearly stating your claim about matter and energy in the zombie fire system and how it relates to peat formation and decomposition. You could begin with a direct statement like, ""Zombie fires can burn under ice because of the presence of peat, which formed due to historical changes in Earth's tilt leading to increased plant growth, and the lack of decomposition due to colder temperatures."" Then, clearly separate the discussion of the Earth's tilt and the yeast lab to show how each piece of evidence supports your claim. Ensure you connect these pieces back to how they enable the zombie fire to burn. Consider using transitions to guide the reader through your argument more clearly. Finally, make sure to check for typos and improve the clarity of your writing by breaking down longer sentences and ensuring your point is concise and directly tied to your evidence.","You've done a great job in using specific evidence from class activities to support your claims. For instance, you referenced the Earth's tilt activity by explaining how changes in the Earth's tilt led to increased sunlight and plant growth: ""the more light a plant got the more oxygen and glucose it would produce (also known as photosynthesis)"". This clearly ties into your understanding of photosynthesis and how it contributed to plant growth in the past, which is a crucial part of the formation of peat. Additionally, your reference to the yeast lab experiment is strong; you provided concrete data, such as ""at 10 minutes, the warm beaker had 13 cm of foam while the cold one had 0cm,"" to explain how colder temperatures slow decomposition."
"In the past, the arctic was different than today because scientists found that the permafrost was formed about 11000 years ago from living plants that died and are going though the process of decomposition still today. earths tilt also lessened because before the tilt was 24.5 degrees and the angle now is 22.1. This affects the permafrost because with the earths stilt being greater, theres more sun on the arctic, and with less it means less sun. Under the permafrost in the arctic there is peat. Peat is made of glucose and plants that died and started to decompose. Plants also perform what is called photosynthesis which is a process where they take in glucose and energy from the sun and releases oxygen and CO2. We know it needs light because in our tilt investiagtion we concluded that the jar we used with a plant and BCB in it having the most light increased the photosynthesis changing the BTB to blue. Peat is formed when organic matter is dead and broken down. This process takes place in a body of water where plants die and fall into the water beginning this process. The reason peat is still being formed under the permafrost is because there is a lack of oxygen and heat for it to decompose. We know matter needs oxygen and heat to decompose because in our oxygen and decomposition experiment, there were 4 jars filled with plant matter and decomposers such as mold,bacteria,and maggots. They gave each jar a different oxygen level. Jar A had no additional oxygen while jars B,C,and D had low, medium, and high levels of oxygen. The jar with the highest amount of oxygen decomposed the fastest and therefore showing us that high amounts of oxygen are best to have matter decompose at a normal pace. Now, we know that the artic has low amounts of oxygen under the permafrost since theres still peat decomposing from 11000 years ago. Although this is true, its not the only reason peat is still there. Peat is able to burn for very long amounts of time because we tested this to be true in our burning fuels investigation. During that investigation, we burned leaves, sticks, and peat. They all started with the same amount of grams, and once burned they all lost almost the same amount of grams, however, the peat was capable of burning for 6 hours which was much more than the stick and leaves. Since there is so much peat under the permafrost, that also means that theres over ten times the amount we tested in the lab. So, zombie fires can burn under the ice because when fire burns heat increases, which causes the permafrost to melt and when it does, the peat is exposed to oxygen which increases the fire to get bigger and a bigger fire means more CO2 being released and that helps the decomposition so the fire will last longer especially when heat is rising and peat is decomposing. This releases more CO2 into the atmosphere.","If temperature on Earth continues to rise, the artic will start to melt and the zombie fires will probably increase or last longer because of the rise in temperature. The zombie fires will also need less effort to be able to burn longer and through the arctic. We know this because with our experiments we concluded that warmer temperatures causes the artic to melt thus having the peat underneath the permafrost to take in more oxygen and warmth to be able to decompose. If zombie fires keep burning, the permafrost will continue to melt, then releasing more CO2. It will also help peat decompose because of the increase in temperature which we know is one of the things matter needs to decompose.",3,"To improve your response, consider organizing your explanation in a clearer sequence that directly addresses the task criteria. Start by explicitly stating your claim about how zombie fires can burn under ice, then follow with a structured explanation of how peat is formed and why it hasn't decomposed, using subheadings or transitional phrases. This will help guide the reader through your reasoning. Additionally, make sure to clarify the connections between the scientific concepts discussed, like photosynthesis and decomposition, and their relevance to the phenomenon of zombie fires. This will enhance the clarity and coherence of your argument.","Your response clearly demonstrates a thorough understanding of the processes at play in the formation and persistence of zombie fires. You successfully incorporate evidence from multiple class activities, such as the burning fuels investigation and the oxygen and decomposition experiment, to support your claims. For example, you effectively explain that ""the jar with the highest amount of oxygen decomposed the fastest,"" which ties into how the lack of oxygen under the permafrost contributes to the persistence of peat. Additionally, your discussion about the impact of Earth's tilt on the amount of sunlight received in the Arctic is insightful and shows a good grasp of how environmental factors affect permafrost and peat formation."
"Peat is made out of dead plant organisms, which are sugar-containing carbon, oxygen, and hydrogen. Peat is formed by thousands of years of plants dying, more specifically, when dead plants organisms end up in an open body of water, like a lake, forming a dense layer at the bottom. From our decomposition investigation, this action is known as decomposition, that uses the process of cullular respiration, this process can release a lot of carbon dioxide into the air, which allows the zombie fires to burn, more oxygen available makes more carbon dioxide, and as the fires burning also increases the temperature which releases even more carbon dioxide. So the zombie fires have almost unlimited fuel.

Zombie fires are able to burn under ice because there is peat trapped uner the ice that provides the fire with matter/energy, that allows the zombie fire to burn for an astonishing time. The zombie fire investigation shows when fire burns, temperature increases, when temperature increases, permafrost melts and the peat is exposed to oxygen, an increase in oxygen cause the zombie fires to grow bigger, and when the fire is bigger, more carbon dioxide is released for the fire to burn off of. 

The arctic in the past was very different than it is today, and the Tilt Model shows explains the huge difference. 11,000 years ago, the earth had a much larger tilt, letting in more solar energy that reaches arctic, higher solar radiation means more photosynthesis, that allows plants to grow. Present day, the arctic is cold and there is peat frozen in permafrost with no decomposition occuring. That is because the earth's tilt is much less than it was 11,000 years ago, letting less solar radiation reach the arctic, and less sun means less plants. 

Overall, there is a vast amount of energy the zombie fires are able to burn off of to cointinue buriing through winter, based of the decomposition from yeast, that is a living decomposer  that breaks down glucose, that creates energy from cullular respiration. ","If the temperature on earth continues to rise, that would leave the arctic back to are close to how it was 11,000 years ago. The Earth's Tilt lab presented the effects of what happens when solar energy reaches the arctic, plants would be able to regrow based off the melting of the permafrost where the process of photosynthesis will take place. Although the heat is coming from the earth internally, the peat would still be able to combust through the permafrost and snow, and the zombie fires would continue to burn from the huge amount of energy still being produced by decomposition. ",2,"To improve your response, consider organizing your explanation more clearly by explicitly stating each of your claims at the beginning of your paragraphs. For instance, start with a clear statement like 'Zombie fires can burn under ice because...' and then expand on it with the evidence you've gathered. Additionally, try to make a more direct connection between the scientific processes you mention (photosynthesis, cellular respiration, decomposition) and how they specifically contribute to the phenomenon of zombie fires. When discussing evidence from class, such as the Tilt Model, ensure you tie it back to how the historical context impacts the current state of zombie fires. This will help strengthen the connection between your evidence and your claims.","You have made a strong connection between the formation of peat and its role in sustaining zombie fires. Your explanation that 'Peat is made out of dead plant organisms, which are sugar-containing carbon, oxygen, and hydrogen' shows a clear understanding of the composition of peat. Additionally, your use of the decomposition investigation to explain how decomposition and cellular respiration release carbon dioxide into the air is a good application of class activities to support your claim. This aligns well with the assignment criteria of making a claim about matter and energy in the zombie fire system and supporting it with specific evidence from class activities."
"     Zombie fires can burn under ice in the Arctic because of the large amounts of peat stored under the permafrost. 
     Peat is a substance made of compressed dead plant matter that layers on top of itself at the bottoms of bodies of water, and as thousands of years pass, the peat forms. The question is, how did that peat form in the first place? Seeing as it's made of dead plant matter, it doesn't make sense that there's so much of it, the Arctic being as uninhabitable as it is. The very answer lies in how the peat is made. Thousands of years ago, the Earth's tilt was slightly larger than it is today, exposing more of the area now known as the Arctic to sunlight. We know from our tilt lab that the more light energy a plant is accessing, the more photosynthesis will occur. The goal was to compare what photosynthesis would have been like in the Arctic when plants there got more sunlight thousands of years ago, and today, when they gets notably less due to the smaller tilt of the Earth. We put one test tube full of parsley, water, and BTB fluid under each of three environments- one with direct light, one with indirect light, and one with no light. BTB is a fluid that changes color from blue to green/yellow as you add carbon dioxide. We wanted to measure the amount of oxygen being produced by the plants (because O2 is a product of photosynthesis), so we added CO2 to the water, turning it green. The more photosynthesis occurred, the more blue/less green the fluid would be because of the newly added oxygen. 
     As predicted, the test tube placed under direct light changed to be the bluest in comparison to the other test tubes, the least changed being the test tube with no light. With no light, comes no photosynthesis, so there was no change. This reaffirms the fact that more photosynthesis occurs when you have more light.
     Peat itself takes thousands of years to form, but the dead plants that make up the peat were formed thousands of years ago, when photosynthesis was more bountiful in the Arctic due to the greater tilt of the Earth and higher sun radiation. As the Earth's tilt shrunk, the plants died and formed peat, which just stayed there, not decomposing, due to the cold temperatures of the Arctic and the lack of oxygen need for cellular respiration to occur. 
     Water holds a much smaller amount of oxygen than air does, and peat is formed underwater, then staying underground- this means there's very little oxygen in the actual peat. We know from the paper we looked at talking about the study between the four different beakers comparing different rates of decomposition when you add in different amounts of oxygen that the more oxygen you have, the more/faster something will decompose. Because of the way peat forms, it's seriously lacking oxygen, so it's harder for it to decompose. 
     In our yeast lab, we learned that the warmer the temperature is, the more something will decompose, and vice versa. This lab was meant to imitate decomposition because yeast is a living thing that can act as a decomposer, so we fed it sugar to see the cellular respiration process. For this lab, we had three separate beakers filled with water, sugar, and yeast- one had cold water, one had room temperature water, and one had warm water. Every two minutes we would measure the amount of foam produced by each beaker, because the foam was made of carbon dioxide and water, two outputs of cellular respiration. This showed us the rate that the three beakers were decomposing. In the lab, the beaker containing cold water had a measurement of 0.4 cm of foam at the end of the twenty minutes, a drastic 4.6 cms less than the 5 cms of the warm beaker. This showed us that warmer temperatures are more ideal for decomposition. The Arctic is constantly incredibly cold, especially in the winter, so it makes sense that in an environment tailored to prevent decomposition, there's huge masses of dead plant matter that isn't decomposing under the permafrost.
     So how does this relate to zombie fires? We know that peat contains huge amounts of carbon/energy from the fuel burning lab that we did and previous knowledge from readings. Because peat stores so much energy and matter and isn't decomposing, it acts as constant fuel for the zombie fires, maintaining them underneath the permafrost.","If the temperature on Earth continues to rise, more peat will burn, melting more permaforst and heating up the atmosphere because of the CO2 being released. When peat burns, energy and carbon dioxide get released. The fire increases the temperature and melts the permafrost above the peat. When said permafrost melts, the peat gets exposed to more oxygen, further increasing the fire. The more fire there is, the more carbon dioxide that gets released. The greater amounts of carbon dioxide then raise the temperature and continue the cycle, burning more permafrost and heating up the atmosphere of the Earth. This cycle will continue, melting the Arctic and destroying the environment.",4,"While your response contains a lot of valuable information, organizing it more effectively would enhance clarity and cohesion. Consider beginning with a concise claim that clearly states the connection between peat, lack of decomposition, and zombie fires before delving into detailed evidence from your labs. This will help set the stage for your explanation. Additionally, ensure that each piece of evidence is explicitly linked back to your main claim about zombie fires to reinforce your argument. Finally, try to weave in how the energy flow and matter transformation occur specifically in the zombie fire system, as this is part of the task criteria. This will strengthen your connections to multiple disciplinary ideas, such as cellular respiration and the carbon cycle, which are vital for fully addressing the assignment's requirements.","Your response does an excellent job of explaining how peat is formed and why it doesn't decompose in the Arctic, which directly ties to the zombie fire phenomenon. You effectively use evidence from the Elodea/Earth's Tilt lab to illustrate how the Earth's tilt affected photosynthesis rates in the past, supporting your claim about peat formation. Additionally, your explanation of the Yeast/Decomposition Lab provides clear evidence of how temperature affects decomposition, which is crucial for understanding why peat remains undecomposed under cold conditions. You also make a strong connection to the Burning Fuel Samples demonstration by mentioning how peat acts as fuel due to its stored carbon and energy."
"Zombie fires can burn under ice due to the amount of permafrost there is above or in the artic itself, I say this due to because of what we did back in our bunring project, Peat took the longest to burn unlike the sticks and the leafs. This could potentially show on how much fire a zombie fire could make.  Another potential piece of evidence could be on what the results were on how our teacher shows up what would happen if it was set on fire, It results that it takes longer time to set it on fire but it doesnt last long. The zombie fires could last long probably due to because of the permafrost doing something with the peat, almost like a chemical reaction or something decomposing in it, or maybe it could be its not really doing anything to the peat to make the zombie fire. ",If the temperature on Earth continues to rise it would cause alot of health issues for us. If it gets to the point were most of the water could evaporate. some things might decompose if they were exposed to the sun most of the time. more people would probablly get skin cancer or a heat stroke. animals would die from not drinking ( potentially though if its hot enough ). there could also probably be less resources for us due to the amount of heat / temperature that rose.,0,"To improve your explanation, it would be beneficial to clarify the connection between peat, permafrost, and zombie fires. Specifically, you could expand on how peat is formed in the arctic environment and why it doesn't decompose quickly, as these are important factors in the persistence of zombie fires. Additionally, try to organize your ideas more clearly by providing a concise sequence of how each element contributes to the fire. For example, you could start with the formation of peat, explain its role in the carbon cycle or decomposition, and then link it to the fire's longevity under ice. This will help create a more cohesive argument that aligns with the assignment criteria of discussing matter and energy flow in the system.","Your response does a good job of integrating class activities as evidence, such as when you reference the ""burning project"" to illustrate how peat takes longer to burn compared to sticks and leaves. This connection helps demonstrate your understanding of the unique properties of peat and how it might contribute to the phenomenon of zombie fires."
zombies fires can burn under the ice for such long periods of time because of the the peat under the ice. peat is dead plantation and the reason there is so much of it is because thousands of years ago the earth was at a slightly different angle than what it is now allowing a lot more sun light to hit the artic which means the plants had more energy to grow and live  but as the earths tilt changed less sun light was able to hit it now plants are dead after years the peat was covered by all the ice not allowing any oxygen to reach it so now that there is no oxygen and extremly cold weather instead of warm it became difficult for the peat to decompose and we learned from burning differents things that even a small amount of peat can burn for hours so imagine how lomng lost of it can do and since peat holds lots of sugar it also containds lots of energy so meaning  it can burn for longer periods of time so when a fire starts and is covered by sonw and surronded by peat it continous to burn using the peat as a fuel source all the way till the snow melts allowing for additional heat and oxygen to reach the flames so they grow again.,there will be a major increase in photosenthesis which will also lead to more plantatiion around the world like places near the eqautor,1,"To improve your response, consider organizing your thoughts more clearly and using scientific terminology more precisely. For example, clarify the process of how peat forms and why it hasn't decomposed, by explicitly mentioning the lack of oxygen and cold temperatures. Also, break down your sentences into shorter, more concise statements to enhance readability. For instance, instead of writing one long sentence, you could separate the points about the earth's tilt, plant growth, and peat formation into distinct ideas. Additionally, providing evidence from class activities, such as the burning fuel samples demonstration or the decomposition lab, would strengthen your explanation and fulfill the assignment criterion of citing specific evidence.","You have effectively identified the role of peat in zombie fires, stating that ""zombies fires can burn under the ice for such long periods of time because of the peat under the ice."" This is a strong start as it aligns with the assignment criteria of explaining the matter and energy in the system. Additionally, you have made a connection between historical climate conditions and the current state of the Arctic, mentioning that ""thousands of years ago the earth was at a slightly different angle...allowing a lot more sunlight to hit the Arctic."" This demonstrates an understanding of how changes in Earth's tilt have influenced plant growth and peat formation, which is an important disciplinary idea."
"""Peat is formed by..."" the Decomposition of plants over 11,000's of years ago. 
[statded in the Geologic Time Packit]

""In the past, the arctic was different than today"" because of Earth's tilt 11,000 years ago and the arctic had a higher amount of sun this relate to solar radiation this reates to the increseing and makeing plant life being made then decomposition into peat. 
[Seen in the Tilt Lab]

""Zombie fires can burn under ice because..."" ",The permafrost will begin to thaw This cause peat being exposed. And being open to fire and Oxygen This means that Zombie fires can ochver.,1,"To improve your response, make sure to fully complete your sentences and thoughts. For example, you started the sentence ""Zombie fires can burn under ice because..."" but did not finish it. Completing thoughts will help in making concise claims. Additionally, ensure you discuss how the lack of decomposition of peat contributes to the sustained energy and matter for zombie fires. Lastly, try to explicitly connect these ideas back to the concept of energy flow and transformation, as outlined in the assignment criteria, to enhance the depth of your explanation.","I appreciate how you incorporated specific evidence from class activities, such as the Tilt Lab and Geologic Time Packet, to support your explanation. You correctly mentioned that peat formation involves the decomposition of plants over thousands of years and connected this to the increase in plant life due to higher solar radiation in the past. This shows a clear understanding of how peat was formed historically in the Arctic."
"peat is formed by dead vegetation, but the vegetation was alive once that had oxygen and doing photosynthesis since the plants was alive years and years ago. The peat is a fuel that makes the fire burns and now the peat is burning underground in ice.",If the temperature on Earth continues to rise then the ice would melt and zombie fires would have oxygen since it is dead vegtation the peat would possbily start to photosynthesis or spread and spread everywhere since it will be moved/swayed around since of wind will be pushing the fire around of it comes out the ground and will it possibly be taken out? no but it might be possilby if the peat will have aerobic.,1,"To improve your explanation, try to organize your thoughts more clearly and connect them to the evidence from class activities. For instance, you could reference the 'Burning fuel samples demonstration' to provide specific evidence of how peat acts as a fuel. Additionally, explaining why peat hasn't decomposed fully, perhaps by incorporating insights from the 'Yeast/Decomposition Lab,' would strengthen your response. Finally, make sure to discuss how energy flows into and out of the zombie fire system, as required by the task criteria. This will create a more comprehensive explanation.","You've done a great job explaining how peat is formed and its connection to zombie fires. Your description that ""peat is formed by dead vegetation, but the vegetation was alive once that had oxygen and doing photosynthesis"" clearly shows your understanding of the carbon cycle and the role of photosynthesis. This aligns well with the task criteria that ask for connections to photosynthesis and decomposition."
"In the past, the arctic was different than today because the tilt of the earth was 2 degrees greater, there was enough light for them to survive, it wasnt cold, and there was enough oxygen. When there was more sun in the arctic it caused plants to grow due to the photosynthesis. When the plants died they didnt decompose. this was shown in the yeast lab where the foam at the top represents the decomposition and CO2 in the different temperatues of water. In cold water, it there was no bubbles at all meaning it didnt breakdown, but in the hot water it had 1.5 cm of foam at the top. the foam on the top represents decomposition becuase when plants decompose they release CO2 and energy. The energy is realesed from the peat we know from the buring fuel samples peat has the most energy, burning for the longest and keeping a higher temp then what it had before we burned it. We know plants release CO2 from the tilt investigation where we put plants in water with no light, partialy under the light, and compleaty under the light. The plant with all of the light turned blue becuase the BTB turns a different color when exposed to CO2. it is origianaly blue but we blew into it to make it yellow, this shows that the plant didnt decompose and still was doing photosynthesis. The chemical equation for photosynthesis is Light+H2O+CO2=O2+C6H12O6 meaning in photosynthesis it releases oxygen. The plant with no light turned even more yellow becuase it couldnt do any photosynthesis becuase it didnt have the light to. it turned even more yellow becuase the plant released more CO2 when it was decomposing. This lab shows that the earths tilt prevented the plants from getting the light that they need to grown and stay alive, when the plants died it was too cold for them to decompose so they just stayed there. On the oxygen and decomposition paper it shows that plants with the least amount of oxygen decompose the least, since the peat was formed under the water, where there is very little oxygen, they couldnt decompose. The zombie fire system has enough energy and matter in the system to burn under the ice and because it was too cold to decompose, there was not enough light in the arctic due to the tilt for the plants to do photosynthesis and stay alive and they dont have enough oxygen to decompose
","If the temperature on earth continures to rise the permafrost with thaw and expose more of the peat meaning it will decompose. The temperatures will be greater meaning it will be easier to decompose and release more CO2 and energy. this also would allow plants to grow becuase they will be able to do photosynthesis and they will take in the CO2 and make oxygen, we know that with more plants means more oxygen and more oxygen means they will decompose easier, becuase they decomposed they will not have the energy stored up to burn for as long as the peat does, meaning the zombie fires will eventully go away.",3,"To enhance your writing, focus on improving organization and clarity. Currently, your response covers several ideas, but structuring them into distinct paragraphs would help. For instance, one paragraph could focus on the historical conditions of the Arctic and peat formation, another on the decomposition process, and a final one on the implications for zombie fires. This will make your argument more coherent. Additionally, ensure that your explanation directly connects back to your claim at each step, reinforcing the link between the evidence and your conclusions. You might also want to make your explanation more concise by avoiding repetition and ensuring each sentence adds new information. Finally, consider explicitly stating how the energy and matter in the system flow into and out of the zombie fire system, as this is a key part of the assignment criteria.","You have done well in incorporating evidence from class activities to support your explanation. For example, you used the yeast lab to explain the lack of decomposition due to cold temperatures, as seen when you stated, ""In cold water, there was no bubbles at all meaning it didn't breakdown, but in the hot water it had 1.5 cm of foam at the top."" This clearly connects the lab activity to your explanation about decomposition. Additionally, your reference to the burning fuel samples effectively shows how ""peat has the most energy, burning for the longest and keeping a higher temp."" These examples show a strong understanding of how empirical evidence supports your explanation."
